fazenda,pivo,pivo_id,area_ha,variedade,plantio,emergencia,kg_totais,arrobas_ha,data_propria
KRT,1,KRT-001,120.0,FM 990 STP,2025-12-02,2025-12-07,719292.0,319.6853333333333,True
KRT,1,KRT-001,30.0,FM 979 STP,2025-12-03,2025-12-08,,,True
KRT,60,KRT-060,150.0,DP 1949 B3RF,2025-12-08,2025-12-13,702745.0,312.33111111111106,True
KRT,66,KRT-066,100.0,DP 1949 B3RF,2025-12-08,2025-12-13,447207.0,298.138,True
KRT,67,KRT-067,80.0,FM 979 STP,2025-12-13,2025-12-18,461757.0,384.79749999999996,True
KRT,57,KRT-057,150.0,FM 911 GLTP,2025-12-11,2025-12-16,604197.0,268.532,True
KRT,59,KRT-059,73.0,FM 911 GLTP,2025-12-17,2025-12-22,495946.0,226.4593607305936,True
KRT,59,KRT-059,73.0,DP 2111 B3RF,2026-01-03,2026-01-08,,,True
KRT,33,KRT-033,140.0,FM 985 GLTP,2025-12-19,2025-12-24,708100.0,337.1904761904762,True
KRT,34,KRT-034,150.0,FM 974 GLT,2025-12-20,2025-12-25,635983.0,282.6591111111111,True
RDM,102,RDM-102,100.0,FM 974 GLT,2025-12-20,2025-12-25,555250.0,370.1666666666667,True
RDM,105,RDM-105,100.0,FM 974 GLT,2025-12-21,2025-12-26,553933.0,369.28866666666664,True
RDM,107,RDM-107,100.0,FM 974 GLT,2025-12-22,2025-12-27,714270.0,476.18,True
RDM,108,RDM-108,100.0,FM 985 GLTP,2025-12-23,2025-12-28,,,True
RDM,104,RDM-104,100.0,FM 985 GLTP,2025-12-23,2025-12-28,722350.0,481.56666666666666,True
RDM,132,RDM-132,100.0,FM 985 GLTP,2025-12-25,2025-12-30,493090.0,328.72666666666663,True
KRT,70,KRT-070,150.0,FM 911 GLTP,2025-12-26,2025-12-31,796960.0,354.20444444444445,True
RDM,110,RDM-110,100.0,FM 985 GLTP,2025-12-27,2026-01-01,478938.0,319.29200000000003,True
RDM,109,RDM-109,100.0,FM 985 GLTP,2025-12-29,2026-01-03,514252.0,342.8346666666667,True
KRT,61,KRT-061,145.0,FM 911 GLTP,2025-12-29,2026-01-03,593161.0,272.7177011494253,True
KRT,73,KRT-073,160.0,FM 985 GLTP,2026-01-01,2026-01-06,387983.0,161.65958333333336,True
RDM,131,RDM-131,100.0,FM 985 GLTP,2026-01-02,2026-01-07,468520.0,312.34666666666664,True
RDM,115,RDM-115,150.0,DP 1949 B3RF,2026-01-06,2026-01-11,816450.0,362.8666666666667,True
KRT,62,KRT-062,140.0,DP 2111 B3RF,2026-01-11,2026-01-16,590931.0,281.3957142857143,True
KRT,56,KRT-056,150.0,FM 911 GLTP,2026-01-16,2026-01-21,,,True
KRT,20,KRT-020,150.0,FM 974 GLT,2026-01-16,2026-01-21,,,True
KRT,48,KRT-048,160.0,FM 985 GLTP,2026-01-18,2026-01-23,,,True
KRT,49,KRT-049,125.0,FM 985 GLTP,2026-01-18,2026-01-23,,,True
KRT,26,KRT-026,150.0,FM 911 GLTP,2026-01-19,2026-01-24,,,True
KRT,24,KRT-024,150.0,FM 974 GLT,2026-01-21,2026-01-26,,,True
KRT,31,KRT-031,150.0,IMA 5901 B2RF,2026-01-24,2026-01-29,,,True
KRT,22,KRT-022,150.0,FM 974 GLT,2026-01-25,2026-01-30,,,True
KRT,30,KRT-030,150.0,FM 985 GLTP,2026-01-26,2026-01-31,,,True
KRT,21,KRT-021,150.0,DP 1949 B3RF,2026-01-27,2026-02-01,,,True
RDM,103,RDM-103,100.0,IMA 5901 B2RF,2026-01-27,2026-02-01,,,True
