pluvio_id,total_declarado_mm
RDM-101,918.5
RDM-102,877.5
RDM-103,890.98
RDM-104,910.5699999999994
RDM-105,855.6899999999995
RDM-106,865.8699999999994
RDM-107,1022.6100000000002
RDM-108,937.5499999999997
RDM-109,857.4799999999996
RDM-110,838.7300000000001
RDM-112,929.8399999999993
RDM-113,911.1700000000004
RDM-114,962.0
RDM-115,989.3299999999997
RDM-116,1053.5299999999995
RDM-117,1191.1599999999999
RDM-118,1084.1399999999996
RDM-119,990.5299999999994
RDM-120,1093.4099999999996
RDM-121,1064.2099999999996
RDM-122,1114.09
RDM-123,1058.9099999999996
RDM-124,1212.4599999999998
RDM-125,1214.83
RDM-126,1116.73
RDM-127,962.9099999999996
RDM-128,1024.3099999999995
RDM-129,1070.3499999999995
RDM-130,953.8599999999997
RDM-131,1026.0599999999993
RDM-132,1244.2
RDM-133,1007.0699999999997
RDM-SC17D8,856.5000000000001
RDM-SC1A38,1010.3999999999995
RDM-SC1A4C,716.4
RDM-SC1AA8,953.9999999999999
RDM-SC1B34,775.7999999999997
RDM-SC1BA8,1025.7
KRT-001,1285.7899999999997
KRT-001B,1296.0900000000013
KRT-002,1176.16
KRT-002B,513.24
KRT-003,1234.6499999999996
KRT-004,1129.01
KRT-004B,338.7600000000001
KRT-005,1282.79
KRT-006B,509.18000000000006
KRT-006,1184.37
KRT-007B,1194.8899999999996
KRT-007,1355.0599999999995
KRT-008,1186.8899999999999
KRT-009,1386.1399999999996
KRT-010,1295.529999999999
KRT-011,1139.8199999999993
KRT-012,1021.2399999999997
KRT-013,1203.1799999999996
KRT-014,1052.8699999999992
KRT-015,1197.8499999999995
KRT-016,1119.48
KRT-017,1130.5699999999995
KRT-018,1089.2799999999997
KRT-019,1086.1799999999996
KRT-020,1109.9699999999996
KRT-021,1096.3999999999999
KRT-022,1143.7999999999995
KRT-023,1100.7799999999993
KRT-024,1099.0199999999995
KRT-025,1088.98
KRT-026,1038.77
KRT-027,1123.1799999999996
KRT-028,1124.04
KRT-029,1388.66
KRT-030,1051.36
KRT-031,1101.9599999999998
KRT-032,1196.39
KRT-033,1181.86
KRT-034,1082.1999999999998
KRT-035,1303.1899999999996
KRT-036,1147.029999999999
KRT-037,1210.5499999999997
KRT-038,1105.6699999999994
KRT-039,1212.4399999999991
KRT-040,1139.2000000000003
KRT-041,1118.9499999999998
KRT-042,1232.4099999999992
KRT-043,1327.2499999999993
KRT-044,1163.5699999999995
KRT-045,962.3699999999998
KRT-046,1091.0399999999995
KRT-047,1160.6599999999996
KRT-048,1053.6999999999998
KRT-049,1343.0899999999995
KRT-050,1079.1899999999994
KRT-051,1144.279999999999
KRT-052,1205.949999999999
KRT-053,1070.7800000000002
KRT-054,953.44
KRT-055,1127.4899999999998
KRT-056,1094.8899999999999
KRT-057,875.7500000000001
KRT-058,908.13
KRT-059,1022.3299999999999
KRT-060,1113.36
KRT-061,1056.9899999999998
KRT-062,1078.52
KRT-063,1152.0099999999998
KRT-064,1141.4999999999998
KRT-065,1104.6
KRT-066,807.6599999999995
KRT-067,1017.8000000000001
KRT-068,983.4399999999998
KRT-069,1018.3799999999999
KRT-070,1142.2600000000002
KRT-071,1009.3499999999998
KRT-072,1247.0200000000004
KRT-073,1187.1299999999994
KRT-074,1151.7899999999995
