fazenda,pivo,plantio,colheita,dias_manejados,area_ha,prod_sc_ha,chuva_mm,etc_mm,etpc_mm,stress_pct,irrig_mm,excesso_mm,pivo_id
KRT,02,2025-10-12,2026-02-02,127,123.0,87.97,715.15,367.07,387.03,5.2,259.83,625.37,KRT-002
KRT,03,2025-09-25,2026-01-11,113,150.0,61.92,628.12,390.42,423.71,7.9,311.9,550.9,KRT-003
KRT,04,2025-09-20,2026-01-08,118,62.0,42.52,577.25,376.89,400.51,5.9,246.29,478.27,KRT-004
KRT,05,2025-09-24,2026-02-18,145,150.0,60.98,853.05,476.55,507.08,6.0,327.66,718.6,KRT-005
KRT,06,2025-09-26,2026-02-12,143,150.0,70.71,746.12,486.38,505.95,3.9,357.54,640.93,KRT-006
KRT,07,2025-10-16,2026-03-12,151,119.0,62.91,1209.47,453.61,475.67,4.6,227.43,1017.22,KRT-007
KRT,08,2025-10-15,2026-03-14,147,150.0,68.57,968.45,420.75,443.88,5.2,265.07,846.45,KRT-008
KRT,09,2025-11-23,2026-04-07,144,119.0,76.51,1271.25,416.56,443.62,6.1,172.35,957.09,KRT-009
KRT,10,2025-11-22,2026-04-05,145,149.0,77.93,1078.84,409.32,441.29,7.2,178.7,780.46,KRT-010
KRT,11,2025-10-23,2026-03-31,144,121.0,97.85,981.2,458.94,487.06,5.8,219.3,800.62,KRT-011
KRT,12,2025-11-11,2026-03-31,125,150.0,71.18,874.43,435.49,471.48,7.6,229.18,734.4,KRT-012
KRT,13,2025-11-13,2026-04-05,152,70.0,68.61,1086.69,441.03,470.59,6.3,145.09,850.39,KRT-013
KRT,14,2025-11-15,2026-03-30,121,150.0,69.03,960.74,405.98,435.23,6.7,144.59,781.22,KRT-014
KRT,15,2025-10-07,2026-01-30,101,150.0,64.31,732.29,411.94,437.89,5.9,287.73,626.61,KRT-015
KRT,17,2025-10-01,2026-01-28,107,150.0,62.47,657.52,434.94,460.99,5.7,241.94,511.04,KRT-017
KRT,18,2025-12-22,2026-04-26,115,150.0,49.11,657.24,351.93,360.21,2.3,194.61,539.18,KRT-018
KRT,19,2025-10-02,2026-01-28,106,150.0,67.77,662.3,424.2,456.23,7.0,218.1,483.34,KRT-019
KRT,21,2025-10-03,2026-01-26,105,150.0,64.55,605.14,386.06,427.99,9.8,275.77,523.41,KRT-021
KRT,23,2025-10-07,2026-02-05,132,150.0,74.36,680.9,418.57,453.72,7.7,247.06,514.3,KRT-023
KRT,26,2025-09-26,2026-01-14,112,150.0,43.85,569.64,377.49,428.07,11.8,250.1,461.5,KRT-026
KRT,28,2025-12-15,2026-04-16,107,133.0,63.8,724.55,367.68,404.48,9.1,78.07,535.22,KRT-028
KRT,31,2025-10-04,2026-01-16,104,150.0,36.11,532.95,355.91,400.48,11.1,270.04,485.31,KRT-031
KRT,35,2025-10-03,2026-02-09,136,150.0,74.34,788.13,401.13,419.28,4.3,275.23,715.89,KRT-035
KRT,36,2025-10-08,2026-02-28,131,150.0,77.48,1001.27,457.88,484.94,5.6,310.32,884.96,KRT-036
KRT,37,2025-10-03,2026-02-14,136,72.0,77.05,814.89,457.64,472.17,3.1,394.13,804.21,KRT-037
KRT,38,2025-10-10,2026-02-17,129,150.0,77.68,776.77,427.97,450.74,5.1,287.92,690.36,KRT-038
KRT,40,2025-10-07,2026-02-02,132,150.0,78.32,733.23,415.68,445.97,6.8,285.62,638.79,KRT-040
KRT,43,2025-10-10,2026-02-08,129,138.0,69.45,905.22,417.97,448.92,6.9,257.23,795.67,KRT-043
KRT,44,2025-10-10,2026-02-20,129,70.0,76.5,661.66,381.45,408.21,6.6,318.93,640.54,KRT-044
KRT,45,2025-11-06,2026-03-17,130,124.0,85.05,852.0,414.26,449.93,7.9,218.03,730.11,KRT-045
KRT,46,2025-12-24,2026-04-19,98,158.0,62.29,646.88,324.99,360.74,9.9,147.62,506.6,KRT-046
KRT,50,2025-11-17,2026-04-08,120,118.0,91.33,942.08,348.55,380.7,8.4,148.64,816.22,KRT-050
KRT,51,2025-10-30,2026-03-05,135,119.0,80.74,939.29,369.12,403.12,8.4,229.85,847.62,KRT-051
KRT,52,2025-11-20,2026-04-08,137,158.0,75.57,1054.64,353.0,383.08,7.9,157.23,917.35,KRT-052
KRT,55,2025-10-26,2026-03-08,141,150.0,83.11,960.2,419.91,454.73,7.7,196.64,806.86,KRT-055
KRT,64,2025-10-12,2026-02-06,112,80.0,58.85,674.21,388.93,412.41,5.7,247.06,628.36,KRT-064
KRT,71,2026-01-08,2026-05-02,83,30.0,50.71,560.62,276.39,337.3,18.1,93.16,433.81,KRT-071
KRT,72,2025-11-04,2026-03-10,132,125.0,66.52,1095.61,371.18,400.04,7.2,166.96,976.45,KRT-072
KRT,74,2025-12-19,2026-04-21,118,158.0,53.01,816.53,338.7,361.03,6.2,42.25,551.06,KRT-074
RDM,101,2025-10-02,2026-01-27,113,114.0,82.97,491.0,422.93,445.7,5.1,318.61,394.89,RDM-101
RDM,103,2025-09-30,2026-01-25,115,102.0,71.62,469.34,427.78,447.8,4.5,292.48,348.72,RDM-103
RDM,106,2025-10-26,2026-02-19,120,102.0,83.01,561.61,390.08,417.75,6.6,264.1,427.16,RDM-106
RDM,112,2025-10-08,2026-02-01,131,150.0,78.05,529.6,397.49,430.82,7.7,275.57,453.61,RDM-112
RDM,113,2025-10-22,2026-02-17,117,150.0,73.88,590.62,401.06,428.48,6.4,218.82,466.17,RDM-113
RDM,114,2025-10-09,2026-01-29,99,120.0,73.1,551.98,389.69,418.13,6.8,272.58,506.26,RDM-114
RDM,116,2025-10-28,2026-03-14,139,150.0,96.26,825.49,454.85,485.07,6.2,257.15,691.78,RDM-116
RDM,117,2025-11-01,2026-03-09,135,150.0,90.27,922.0,418.52,452.01,7.4,212.9,802.33,RDM-117
RDM,122,2025-10-11,2026-03-06,156,150.0,58.28,859.78,472.38,509.97,7.4,287.95,704.08,RDM-122
RDM,123,2025-10-16,2026-03-04,151,150.0,94.72,846.87,453.62,500.92,9.4,297.42,741.08,RDM-123
RDM,125,2025-10-24,2026-03-23,143,100.0,0.0,935.03,444.29,503.36,11.7,182.19,762.86,RDM-125
RDM,127,2025-11-04,2026-03-19,132,102.0,0.0,758.21,414.47,472.51,12.3,138.91,542.22,RDM-127
RDM,129,2025-10-17,2026-02-15,137,150.0,0.0,688.38,378.39,403.98,6.3,207.88,564.5,RDM-129
