fazenda,pivo_id,pivo,plantio,emergencia,area_ha,kg_totais,variedades,arrobas_ha,soja_plantio,soja_colheita,soja_area,soja_prod,dias_manejados,ciclo_soja,gap_colh_plantio
KRT,KRT-001,1,2025-12-02,2025-12-07,120.0,719292.0,FM 990 STP,399.6066666666667,,,,,,,
KRT,KRT-001,1,2025-12-03,2025-12-08,30.0,0.0,FM 979 STP,,,,,,,,
KRT,KRT-002,2,2026-02-14,2026-02-19,124.0,0.0,FM 933 STP; FM 945 STP,,2025-10-12,2026-02-02,123.0,87.97,127.0,113.0,12.0
KRT,KRT-006,6,2026-02-17,2026-02-22,150.0,0.0,DP 2111 B3RF; TMG 33 B3RF,,2025-09-26,2026-02-12,150.0,70.71,143.0,139.0,5.0
KRT,KRT-015,15,2026-02-06,2026-02-11,150.0,0.0,DP 1949 B3RF,,2025-10-07,2026-01-30,150.0,64.31,101.0,115.0,7.0
KRT,KRT-016,16,2026-02-06,2026-02-11,150.0,0.0,FM 974 GLT,,,,,,,,
KRT,KRT-017,17,2026-02-06,2026-02-11,150.0,0.0,DP 1949 B3RF,,2025-10-01,2026-01-28,150.0,62.47,107.0,119.0,9.0
KRT,KRT-019,19,2026-02-07,2026-02-12,150.0,0.0,DP 1949 B3RF,,2025-10-02,2026-01-28,150.0,67.77,106.0,118.0,10.0
KRT,KRT-020,20,2026-01-16,2026-01-21,150.0,0.0,FM 974 GLT,,,,,,,,
KRT,KRT-021,21,2026-01-27,2026-02-01,150.0,0.0,DP 1949 B3RF,,2025-10-03,2026-01-26,150.0,64.55,105.0,115.0,1.0
KRT,KRT-022,22,2026-01-25,2026-01-30,150.0,0.0,FM 974 GLT,,,,,,,,
KRT,KRT-024,24,2026-01-21,2026-01-26,150.0,0.0,FM 974 GLT,,,,,,,,
KRT,KRT-026,26,2026-01-19,2026-01-24,150.0,0.0,FM 911 GLTP,,2025-09-26,2026-01-14,150.0,43.85,112.0,110.0,5.0
KRT,KRT-030,30,2026-01-26,2026-01-31,150.0,0.0,FM 985 GLTP,,,,,,,,
KRT,KRT-031,31,2026-01-24,2026-01-29,150.0,0.0,IMA 5901 B2RF,,2025-10-04,2026-01-16,150.0,36.11,104.0,104.0,8.0
KRT,KRT-033,33,2025-12-19,2025-12-24,140.0,708100.0,FM 985 GLTP,337.19047619047615,,,,,,,
KRT,KRT-034,34,2025-12-20,2025-12-25,150.0,635983.0,FM 974 GLT,282.65911111111114,,,,,,,
KRT,KRT-035,35,2026-02-13,2026-02-18,150.0,0.0,DP 1949 B3RF,,2025-10-03,2026-02-09,150.0,74.34,136.0,129.0,4.0
KRT,KRT-039,39,2026-03-10,2026-03-15,100.0,0.0,FM 911 GLTP,,,,,,,,
KRT,KRT-041,41,2026-02-19,2026-02-24,127.0,0.0,FM 911 GLTP,,,,,,,,
KRT,KRT-042,42,2026-02-07,2026-02-12,100.0,0.0,DP 2111 B3RF,,,,,,,,
KRT,KRT-043,43,2026-02-13,2026-02-18,138.0,0.0,FM 911 GLTP,,2025-10-10,2026-02-08,138.0,69.45,129.0,121.0,5.0
KRT,KRT-047,47,2026-02-28,2026-03-05,160.0,0.0,DP 1949 B3RF; TMG 44 B2RF,,,,,,,,
KRT,KRT-048,48,2026-01-18,2026-01-23,160.0,0.0,FM 985 GLTP,,,,,,,,
KRT,KRT-049,49,2026-01-18,2026-01-23,125.0,0.0,FM 985 GLTP,,,,,,,,
KRT,KRT-051,51,2026-03-05,2026-03-10,90.0,0.0,DP 2104 B3RF,,2025-10-30,2026-03-05,119.0,80.74,135.0,126.0,0.0
KRT,KRT-051,51,2026-03-19,2026-03-24,30.0,0.0,DP 2111 B3RF,,2025-10-30,2026-03-05,119.0,80.74,135.0,126.0,14.0
KRT,KRT-053,53,2026-02-16,2026-02-21,75.0,0.0,IMA 5801 B2RF; IMA 5901 B2RF,,,,,,,,
KRT,KRT-054,54,2026-02-18,2026-02-23,120.0,0.0,DP 1949 B3RF,,,,,,,,
KRT,KRT-055,55,2026-03-09,2026-03-14,150.0,0.0,BS 2441 STP; BS 2453 STP; DP 2111 B3RF; IMA 3479 B2RF; IMA 563 B3XF; ST APEX 2156 B3RF; TAURA B3XF; TMG 83 B3XF,,2025-10-26,2026-03-08,150.0,83.11,141.0,133.0,1.0
KRT,KRT-056,56,2026-01-16,2026-01-21,150.0,0.0,FM 911 GLTP,,,,,,,,
KRT,KRT-057,57,2025-12-11,2025-12-16,150.0,604197.0,FM 911 GLTP,268.53200000000004,,,,,,,
KRT,KRT-058,58,2026-03-11,2026-03-16,150.0,0.0,DP 2111 B3RF,,,,,,,,
KRT,KRT-059,59,2025-12-17,2025-12-22,73.0,495946.0,FM 911 GLTP,452.9187214611872,,,,,,,
KRT,KRT-059,59,2026-01-03,2026-01-08,73.0,0.0,DP 2111 B3RF,,,,,,,,
KRT,KRT-060,60,2025-12-08,2025-12-13,150.0,702745.0,DP 1949 B3RF,312.3311111111111,,,,,,,
KRT,KRT-061,61,2025-12-29,2026-01-03,145.0,593161.0,FM 911 GLTP,272.7177011494253,,,,,,,
KRT,KRT-062,62,2026-01-11,2026-01-16,140.0,590931.0,DP 2111 B3RF,281.3957142857143,,,,,,,
KRT,KRT-063,63,2026-01-28,2026-02-02,80.0,0.0,FM 985 GLTP,,,,,,,,
KRT,KRT-064,64,2026-02-10,2026-02-15,80.0,0.0,FM 911 GLTP,,2025-10-12,2026-02-06,80.0,58.85,112.0,117.0,4.0
KRT,KRT-065,65,2026-01-29,2026-02-03,150.0,0.0,FM 985 GLTP,,,,,,,,
KRT,KRT-066,66,2025-12-08,2025-12-13,100.0,447207.0,DP 1949 B3RF,298.138,,,,,,,
KRT,KRT-067,67,2025-12-13,2025-12-18,80.0,461757.0,FM 979 STP,384.7975,,,,,,,
KRT,KRT-068,68,2026-01-30,2026-02-04,80.0,0.0,FM 911 GLTP,,,,,,,,
KRT,KRT-069,69,2026-02-15,2026-02-20,80.0,0.0,FM 911 GLTP,,,,,,,,
KRT,KRT-070,70,2025-12-26,2025-12-31,150.0,796960.0,FM 911 GLTP,354.20444444444445,,,,,,,
KRT,KRT-072,72,2026-03-12,2026-03-17,125.0,0.0,DP 2111 B3RF,,2025-11-04,2026-03-10,125.0,66.52,132.0,126.0,2.0
KRT,KRT-073,73,2026-01-01,2026-01-06,160.0,387983.0,FM 985 GLTP,161.65958333333333,,,,,,,
RDM,RDM-101,101,2026-01-28,2026-02-02,114.0,0.0,FM 974 GLT,,2025-10-02,2026-01-27,114.0,82.97,113.0,117.0,1.0
RDM,RDM-102,102,2025-12-20,2025-12-25,100.0,555250.0,FM 974 GLT,370.1666666666666,,,,,,,
RDM,RDM-103,103,2026-01-27,2026-02-01,100.0,0.0,IMA 5901 B2RF,,2025-09-30,2026-01-25,102.0,71.62,115.0,117.0,2.0
RDM,RDM-104,104,2025-12-23,2025-12-28,100.0,722350.0,FM 985 GLTP,481.56666666666666,,,,,,,
RDM,RDM-105,105,2025-12-21,2025-12-26,100.0,553933.0,FM 974 GLT,369.2886666666667,,,,,,,
RDM,RDM-106,106,2026-02-20,2026-02-25,100.0,0.0,DP 2252 B3XF; DP 2297 B3XF; FM 911 GLTP,,2025-10-26,2026-02-19,102.0,83.01,120.0,116.0,1.0
RDM,RDM-107,107,2025-12-22,2025-12-27,100.0,714270.0,FM 974 GLT,476.18,,,,,,,
RDM,RDM-108,108,2025-12-23,2025-12-28,100.0,0.0,FM 985 GLTP,,,,,,,,
RDM,RDM-109,109,2025-12-29,2026-01-03,100.0,514252.0,FM 985 GLTP,342.8346666666667,,,,,,,
RDM,RDM-110,110,2025-12-27,2026-01-01,100.0,478938.0,FM 985 GLTP,319.29200000000003,,,,,,,
RDM,RDM-112,112,2026-02-02,2026-02-07,150.0,0.0,FM 911 GLTP,,2025-10-08,2026-02-01,150.0,78.05,131.0,116.0,1.0
RDM,RDM-113,113,2026-02-18,2026-02-23,150.0,0.0,DP 1949 B3RF,,2025-10-22,2026-02-17,150.0,73.88,117.0,118.0,1.0
RDM,RDM-114,114,2026-01-30,2026-02-04,120.0,0.0,FM 911 GLTP,,2025-10-09,2026-01-29,120.0,73.1,99.0,112.0,1.0
RDM,RDM-115,115,2026-01-06,2026-01-11,150.0,816450.0,DP 1949 B3RF,362.8666666666667,,,,,,,
RDM,RDM-116,116,2026-03-14,2026-03-19,66.0,0.0,DP 2111 B3RF; FM 911 GLTP,,2025-10-28,2026-03-14,150.0,96.26,139.0,137.0,0.0
RDM,RDM-117,117,2026-03-10,2026-03-15,150.0,0.0,FM 911 GLTP; FM 945 STP,,2025-11-01,2026-03-09,150.0,90.27,135.0,128.0,1.0
RDM,RDM-122,122,2026-03-07,2026-03-12,150.0,0.0,DP 1949 B3RF; DP 2111 B3RF,,2025-10-11,2026-03-06,150.0,58.28,156.0,146.0,1.0
RDM,RDM-123,123,2026-03-04,2026-03-09,150.0,0.0,DP 1949 B3RF,,2025-10-16,2026-03-04,150.0,94.72,151.0,139.0,0.0
RDM,RDM-131,131,2026-01-02,2026-01-07,100.0,468520.0,FM 985 GLTP,312.3466666666667,,,,,,,
RDM,RDM-132,132,2025-12-25,2025-12-30,100.0,493090.0,FM 985 GLTP,328.72666666666663,,,,,,,
