fazenda,pivo_id,area_ha,variedades,pluviometro,soja_plantio,soja_colheita,soja_ciclo,soja_maturidade,soja_prod_sc_ha,atraso_semeadura_soja_d,atraso_colheita_soja_d,disponivel_sem_atraso_soja,liberacao,algodao_plantio,algodao_emergencia,arrobas_ha,atraso_liberacao_ate_plantio_d,camp_chuva_mm,camp_maior_seq_bloq,camp_api_medio,camp_api_max,camp_dias_maior5,camp_dias_resid,camp_dias_bloq,jan_dias,jan_chuva_mm,jan_dias_maior5,jan_dias_resid,jan_dias_bloq,jan_maior_seq_bloq,jan_api_medio,jan_api_max,atraso_chuva_algodao_H1_d,atraso_chuva_algodao_H2_d,atraso_total_algodao_H1_d,atraso_total_algodao_H2_d,atraso_total_algodao_H1_ha_dia,atraso_total_algodao_H2_ha_dia
KRT,KRT-001,120.0,FM 990 STP,KRT-001,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-02,2025-12-07,399.6066666666667,,799.6,12,51.5,126.1,37,35,72,1,0.2,0,1,1,1,74.6,74.6,0,0,0,0,0.0,0.0
KRT,KRT-001,30.0,FM 979 STP,KRT-001,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-03,2025-12-08,,,799.6,12,51.5,126.1,37,35,72,2,9.9,1,1,2,2,73.8,74.6,0,0,0,0,0.0,0.0
KRT,KRT-060,150.0,DP 1949 B3RF,KRT-060,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-08,2025-12-13,312.3311111111111,,756.4,13,46.8,158.4,34,28,62,7,122.2,5,0,5,5,60.4,115.8,5,0,5,0,750.0,0.0
KRT,KRT-066,100.0,DP 1949 B3RF,KRT-066,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-08,2025-12-13,298.138,,531.8,10,33.2,101.0,30,28,58,7,71.4,5,0,5,5,43.5,71.3,5,8,5,8,500.0,800.0
KRT,KRT-057,150.0,FM 911 GLTP,KRT-057,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-11,2025-12-16,268.53200000000004,,628.8,12,38.8,110.7,33,30,63,10,100.3,5,2,7,7,53.2,91.9,3,8,3,8,450.0,1200.0
KRT,KRT-067,80.0,FM 979 STP,KRT-067,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-13,2025-12-18,384.7975,,683.1,10,42.3,117.1,33,30,63,12,99.3,5,2,7,7,55.3,92.3,1,8,1,8,80.0,640.0
KRT,KRT-059,73.0,FM 911 GLTP,KRT-059,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-17,2025-12-22,452.9187214611872,,717.5,10,44.4,114.1,35,28,63,16,123.4,8,5,13,7,51.4,92.6,5,8,5,8,365.0,584.0
KRT,KRT-033,140.0,FM 985 GLTP,KRT-033,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-19,2025-12-24,337.19047619047615,,785.0,8,49.3,122.7,31,29,60,18,208.8,8,7,15,8,72.3,122.7,3,8,3,8,420.0,1120.0
KRT,KRT-034,150.0,FM 974 GLT,KRT-034,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-20,2025-12-25,282.65911111111114,,741.1,9,46.7,104.1,32,31,63,19,188.0,7,8,15,9,66.4,101.3,3,8,3,8,450.0,1200.0
KRT,KRT-070,150.0,FM 911 GLTP,KRT-070,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-26,2025-12-31,354.20444444444445,,794.7,13,49.5,139.9,35,33,68,25,182.0,9,7,16,11,54.1,105.5,0,8,0,8,0.0,1200.0
