,KRT,RDM
2025-12-02,True,False
2025-12-03,False,False
2025-12-04,False,False
2025-12-05,False,False
2025-12-06,False,False
2025-12-07,False,False
2025-12-08,False,False
2025-12-09,False,False
2025-12-10,False,False
2025-12-11,True,False
2025-12-12,True,True
2025-12-13,True,False
2025-12-14,True,False
2025-12-15,False,False
2025-12-16,False,True
2025-12-17,False,False
2025-12-18,False,False
2025-12-19,False,False
2025-12-20,True,True
2025-12-21,True,True
2025-12-22,True,True
2025-12-23,True,True
2025-12-24,True,True
2025-12-25,True,True
2025-12-26,True,True
2025-12-27,True,True
2025-12-28,True,True
2025-12-29,True,True
2025-12-30,False,False
2025-12-31,False,False
2026-01-01,False,False
2026-01-02,False,True
2026-01-03,False,True
2026-01-04,False,True
2026-01-05,False,True
2026-01-06,False,False
2026-01-07,False,False
2026-01-08,False,False
2026-01-09,True,True
2026-01-10,True,True
2026-01-11,True,True
2026-01-12,False,False
2026-01-13,False,False
2026-01-14,False,False
2026-01-15,True,True
2026-01-16,True,True
2026-01-17,True,True
2026-01-18,True,True
2026-01-19,False,False
2026-01-20,False,False
2026-01-21,False,False
2026-01-22,False,False
2026-01-23,False,False
2026-01-24,False,False
2026-01-25,False,False
2026-01-26,False,False
2026-01-27,True,True
2026-01-28,True,True
2026-01-29,True,True
2026-01-30,True,False
2026-01-31,False,False
2026-02-01,False,False
2026-02-02,False,False
2026-02-03,False,False
2026-02-04,False,False
2026-02-05,False,True
2026-02-06,True,False
2026-02-07,True,False
2026-02-08,True,False
2026-02-09,True,True
2026-02-10,False,True
2026-02-11,False,False
2026-02-12,False,False
2026-02-13,False,False
2026-02-14,True,True
2026-02-15,True,True
2026-02-16,True,True
2026-02-17,True,True
2026-02-18,True,True
2026-02-19,False,True
2026-02-20,False,False
2026-02-21,False,False
2026-02-22,False,False
2026-02-23,False,False
2026-02-24,False,False
2026-02-25,False,False
2026-02-26,False,False
2026-02-27,True,False
2026-02-28,False,False
2026-03-01,False,False
2026-03-02,False,False
2026-03-03,False,False
2026-03-04,True,False
2026-03-05,True,False
2026-03-06,False,False
2026-03-07,False,False
2026-03-08,False,True
2026-03-09,True,True
2026-03-10,True,True
2026-03-11,True,True
2026-03-12,True,False
2026-03-13,False,False
2026-03-14,False,False
2026-03-15,False,False
2026-03-16,True,False
2026-03-17,True,False
2026-03-18,True,False
2026-03-19,True,True
