pivo_id,fazenda,plantio,colheita,chuva_relatorio_mm,chuva_pluviometro_mm,fonte,dif_mm,dif_pct
KRT-002,KRT,2025-10-12,2026-02-02,715.15,753.7,pluviometro do proprio pivo,38.55000000000007,5.4
KRT-003,KRT,2025-09-25,2026-01-11,628.12,632.8,pluviometro do proprio pivo,4.67999999999995,0.7
KRT-004,KRT,2025-09-20,2026-01-08,577.25,580.8,pluviometro do proprio pivo,3.5499999999999545,0.6
KRT-005,KRT,2025-09-24,2026-02-18,853.05,958.8,pluviometro do proprio pivo,105.75,12.4
KRT-006,KRT,2025-09-26,2026-02-12,746.12,860.6,pluviometro do proprio pivo,114.48000000000002,15.3
KRT-007,KRT,2025-10-16,2026-03-12,1209.47,1232.7,pluviometro do proprio pivo,23.230000000000018,1.9
KRT-008,KRT,2025-10-15,2026-03-14,968.45,1070.8,pluviometro do proprio pivo,102.34999999999991,10.6
KRT-009,KRT,2025-11-23,2026-04-07,1271.25,1203.5,pluviometro do proprio pivo,-67.75,-5.3
KRT-010,KRT,2025-11-22,2026-04-05,1078.84,1106.0,pluviometro do proprio pivo,27.160000000000082,2.5
KRT-011,KRT,2025-10-23,2026-03-31,981.2,1075.1,pluviometro do proprio pivo,93.89999999999986,9.6
KRT-012,KRT,2025-11-11,2026-03-31,874.43,878.0,pluviometro do proprio pivo,3.57000000000005,0.4
KRT-013,KRT,2025-11-13,2026-04-05,1086.69,1131.6,pluviometro do proprio pivo,44.909999999999854,4.1
KRT-014,KRT,2025-11-15,2026-03-30,960.74,971.4,pluviometro do proprio pivo,10.659999999999968,1.1
KRT-015,KRT,2025-10-07,2026-01-30,732.29,771.2,pluviometro do proprio pivo,38.91000000000008,5.3
KRT-017,KRT,2025-10-01,2026-01-28,657.52,698.0,pluviometro do proprio pivo,40.48000000000002,6.2
KRT-018,KRT,2025-12-22,2026-04-26,657.24,637.3,pluviometro do proprio pivo,-19.940000000000055,-3.0
KRT-019,KRT,2025-10-02,2026-01-28,662.3,672.0,pluviometro do proprio pivo,9.700000000000045,1.5
KRT-021,KRT,2025-10-03,2026-01-26,605.14,688.0,pluviometro do proprio pivo,82.86000000000001,13.7
KRT-023,KRT,2025-10-07,2026-02-05,680.9,681.4,pluviometro do proprio pivo,0.5,0.1
KRT-026,KRT,2025-09-26,2026-01-14,569.64,571.2,pluviometro do proprio pivo,1.5600000000000591,0.3
KRT-028,KRT,2025-12-15,2026-04-16,724.55,718.7,pluviometro do proprio pivo,-5.849999999999909,-0.8
KRT-031,KRT,2025-10-04,2026-01-16,532.95,536.5,pluviometro do proprio pivo,3.5499999999999545,0.7
KRT-035,KRT,2025-10-03,2026-02-09,788.13,912.0,pluviometro do proprio pivo,123.87,15.7
KRT-036,KRT,2025-10-08,2026-02-28,1001.27,1007.1,pluviometro do proprio pivo,5.830000000000041,0.6
KRT-037,KRT,2025-10-03,2026-02-14,814.89,830.1,pluviometro do proprio pivo,15.210000000000036,1.9
KRT-038,KRT,2025-10-10,2026-02-17,776.77,786.4,pluviometro do proprio pivo,9.629999999999995,1.2
KRT-040,KRT,2025-10-07,2026-02-02,733.23,739.0,pluviometro do proprio pivo,5.769999999999982,0.8
KRT-043,KRT,2025-10-10,2026-02-08,905.22,912.8,pluviometro do proprio pivo,7.579999999999927,0.8
KRT-044,KRT,2025-10-10,2026-02-20,661.66,871.9,pluviometro do proprio pivo,210.24,31.8
KRT-045,KRT,2025-11-06,2026-03-17,852.0,887.8,pluviometro do proprio pivo,35.799999999999955,4.2
KRT-046,KRT,2025-12-24,2026-04-19,646.88,662.9,pluviometro do proprio pivo,16.019999999999982,2.5
KRT-050,KRT,2025-11-17,2026-04-08,942.08,1040.3,pluviometro do proprio pivo,98.21999999999991,10.4
KRT-051,KRT,2025-10-30,2026-03-05,939.29,981.2,pluviometro do proprio pivo,41.91000000000008,4.5
KRT-052,KRT,2025-11-20,2026-04-08,1054.64,1129.5,pluviometro do proprio pivo,74.8599999999999,7.1
KRT-055,KRT,2025-10-26,2026-03-08,960.2,984.2,pluviometro do proprio pivo,24.0,2.5
KRT-064,KRT,2025-10-12,2026-02-06,674.21,677.1,pluviometro do proprio pivo,2.8899999999999864,0.4
KRT-071,KRT,2026-01-08,2026-05-02,560.62,562.4,pluviometro do proprio pivo,1.7799999999999727,0.3
KRT-072,KRT,2025-11-04,2026-03-10,1095.61,1116.1,pluviometro do proprio pivo,20.49000000000001,1.9
KRT-074,KRT,2025-12-19,2026-04-21,816.53,765.0,pluviometro do proprio pivo,-51.52999999999997,-6.3
RDM-101,RDM,2025-10-02,2026-01-27,491.0,495.0,pluviometro do proprio pivo,4.0,0.8
RDM-103,RDM,2025-09-30,2026-01-25,469.34,473.9,pluviometro do proprio pivo,4.560000000000002,1.0
RDM-106,RDM,2025-10-26,2026-02-19,561.61,539.8,pluviometro do proprio pivo,-21.81000000000006,-3.9
RDM-112,RDM,2025-10-08,2026-02-01,529.6,550.9,pluviometro do proprio pivo,21.299999999999955,4.0
RDM-113,RDM,2025-10-22,2026-02-17,590.62,594.8,pluviometro do proprio pivo,4.17999999999995,0.7
RDM-114,RDM,2025-10-09,2026-01-29,551.98,552.8,pluviometro do proprio pivo,0.8199999999999363,0.1
RDM-116,RDM,2025-10-28,2026-03-14,825.49,829.8,pluviometro do proprio pivo,4.309999999999945,0.5
RDM-117,RDM,2025-11-01,2026-03-09,922.0,918.6,pluviometro do proprio pivo,-3.3999999999999773,-0.4
RDM-122,RDM,2025-10-11,2026-03-06,859.78,905.6,pluviometro do proprio pivo,45.82000000000005,5.3
RDM-123,RDM,2025-10-16,2026-03-04,846.87,842.5,pluviometro do proprio pivo,-4.3700000000000045,-0.5
RDM-125,RDM,2025-10-24,2026-03-23,935.03,1073.5,pluviometro do proprio pivo,138.47000000000003,14.8
RDM-127,RDM,2025-11-04,2026-03-19,758.21,758.4,pluviometro do proprio pivo,0.18999999999994088,0.0
