fazenda,pluvio_id,dias,acum,zeros,zero_suspeito,frac_do_acum_mediano
KRT,KRT-004B,197,338.76,171,22,0.30137717518949503
KRT,KRT-006B,197,509.18,138,9,0.4529909967616811
KRT,KRT-002B,197,513.24,98,0,0.45660296786591226
KRT,KRT-066,197,807.66,111,0,0.7185331482865378
KRT,KRT-057,197,875.75,113,0,0.7791092843671044
KRT,KRT-058,197,908.13,104,0,0.8079160883954308
RDM,RDM-110,169,838.73,96,1,0.8397376852222668
KRT,KRT-054,197,953.4399999999999,107,0,0.8482260417778726
KRT,KRT-045,197,962.37,125,0,0.8561705989110708
RDM,RDM-105,169,855.69,82,1,0.8567180616740089
RDM,RDM-109,169,857.48,80,1,0.8585102122547057
RDM,RDM-106,169,865.87,81,1,0.8669102923508211
KRT,KRT-068,197,983.4399999999999,120,1,0.8749154834347532
RDM,RDM-102,169,877.5,85,0,0.8785542651181418
RDM,RDM-103,169,890.98,80,0,0.8920504605526632
KRT,KRT-071,197,1009.35,126,1,0.8979662645457458
KRT,KRT-067,197,1017.8000000000001,114,1,0.9054837906124338
KRT,KRT-069,197,1018.38,127,1,0.9059997864844668
KRT,KRT-012,197,1021.24,100,0,0.9085441799224228
KRT,KRT-059,197,1022.33,110,0,0.9095138963026227
RDM,RDM-104,169,910.5699999999999,78,1,0.9116639967961554
RDM,RDM-113,169,911.17,79,0,0.9122647176611934
RDM,RDM-101,169,918.5,80,0,0.919603524229075
KRT,KRT-026,197,1038.77,128,0,0.9241397103305933
RDM,RDM-112,169,929.84,83,0,0.930957148578294
KRT,KRT-030,197,1051.3600000000001,112,0,0.9353403793459308
KRT,KRT-014,197,1052.87,95,0,0.936683747909327
KRT,KRT-048,197,1053.7,121,0,0.9374221557951675
RDM,RDM-108,169,937.55,78,1,0.9386764116940328
KRT,KRT-061,197,1056.99,109,0,0.940349097896872
KRT,KRT-053,197,1070.78,122,0,0.9526173445784848
RDM,RDM-130,169,953.86,73,0,0.9550060072086505
KRT,KRT-062,197,1078.52,116,1,0.9595032205259599
KRT,KRT-050,197,1079.19,112,0,0.9600992847229637
KRT,KRT-034,197,1082.2,110,0,0.962777125369204
RDM,RDM-114,169,962.0,83,0,0.9631557869443332
RDM,RDM-127,169,962.9100000000001,82,0,0.9640668802563077
KRT,KRT-019,197,1086.18,103,0,0.9663179246290169
KRT,KRT-025,197,1088.98,88,0,0.968808939183659
KRT,KRT-018,197,1089.28,113,0,0.9690758336002278
KRT,KRT-046,197,1091.04,105,0,0.9706416141774314
KRT,KRT-056,197,1094.8899999999999,100,0,0.9740667591900644
KRT,KRT-021,197,1096.4,108,0,0.9754101277534608
KRT,KRT-024,197,1099.02,115,0,0.9777410056581617
KRT,KRT-023,197,1100.78,109,0,0.9793067862353653
KRT,KRT-031,197,1101.96,118,0,0.980356570940536
KRT,KRT-065,197,1104.6,111,0,0.9827052418063413
KRT,KRT-038,197,1105.67,108,0,0.9836571652254369
KRT,KRT-020,197,1109.97,111,0,0.987482651862923
KRT,KRT-060,197,1113.36,102,0,0.9904985587701505
RDM,RDM-115,169,989.33,73,0,0.9905186223468163
RDM,RDM-119,169,990.53,81,0,0.9917200640768923
KRT,KRT-041,197,1118.95,135,0,0.9954716913988827
KRT,KRT-016,197,1119.48,129,0,0.9959432048681542
KRT,KRT-027,197,1123.18,123,0,0.9992349026725028
KRT,KRT-028,197,1124.04,111,0,1.0
KRT,KRT-055,197,1127.49,106,0,1.0030692857905412
KRT,KRT-004,197,1129.01,110,1,1.0044215508344898
KRT,KRT-017,197,1130.57,102,0,1.0058094018006476
RDM,RDM-133,169,1007.07,76,0,1.0082799359231078
KRT,KRT-040,197,1139.2,115,0,1.013487064517277
KRT,KRT-011,197,1139.82,93,0,1.0140386463115192
KRT,KRT-064,197,1141.5,108,0,1.0155332550443046
KRT,KRT-070,197,1142.26,102,0,1.0162093875662788
KRT,KRT-022,197,1143.8,115,0,1.017579445571332
KRT,KRT-051,197,1144.28,99,0,1.018006476637842
KRT,KRT-036,197,1147.03,107,0,1.0204530087897228
RDM,RDM-107,169,1022.61,81,1,1.0238386063275933
KRT,KRT-074,197,1151.79,105,0,1.0246877335326146
KRT,KRT-063,197,1152.01,109,0,1.024883456104765
RDM,RDM-128,169,1024.31,82,0,1.0255406487785341
RDM,RDM-131,169,1026.06,67,0,1.027292751301562
KRT,KRT-047,197,1160.66,106,0,1.032578911782499
KRT,KRT-044,197,1163.57,101,0,1.0351677876232162
KRT,KRT-002,197,1176.16,113,0,1.0463684566385538
KRT,KRT-033,197,1181.86,111,0,1.051439450553361
KRT,KRT-006,197,1184.37,125,0,1.0536724671719866
RDM,RDM-116,169,1053.53,69,0,1.054795754905887
