pluvio_id,soma_diaria_mm,total_declarado_mm,dif_mm,dif_pct
KRT-001,1285.79,1285.7899999999995,4.547473508864641e-13,3.5367155669780003e-14
KRT-001B,1296.09,1296.0900000000013,-1.3642420526593924e-12,-1.052582808801388e-13
KRT-002,1176.16,1176.16,0.0,0.0
KRT-002B,513.24,513.24,0.0,0.0
KRT-003,1234.65,1234.6499999999996,4.547473508864641e-13,3.6832086088078746e-14
KRT-004,1129.01,1129.01,0.0,0.0
KRT-004B,338.76,338.7600000000001,-1.1368683772161603e-13,-3.3559699410088554e-14
KRT-005,1282.79,1282.79,0.0,0.0
KRT-006,1184.37,1184.37,0.0,0.0
KRT-006B,509.18,509.18000000000006,-5.684341886080802e-14,-1.116371791130995e-14
KRT-007,1355.06,1355.0599999999995,4.547473508864641e-13,3.3559204085905e-14
KRT-007B,1194.89,1194.8899999999996,4.547473508864641e-13,3.8057674839229074e-14
KRT-008,1186.89,1186.89,0.0,0.0
KRT-009,1386.14,1386.1399999999996,4.547473508864641e-13,3.280674036435456e-14
KRT-010,1295.53,1295.529999999999,9.094947017729282e-13,7.020251956905119e-14
KRT-011,1139.82,1139.8199999999993,6.821210263296962e-13,5.984462689983477e-14
KRT-012,1021.24,1021.2399999999996,4.547473508864641e-13,4.4528940394663775e-14
KRT-013,1203.18,1203.1799999999996,4.547473508864641e-13,3.779545461913133e-14
KRT-014,1052.87,1052.8699999999992,6.821210263296962e-13,6.478682328584695e-14
KRT-015,1197.85,1197.8499999999997,2.2737367544323206e-13,1.89818153728123e-14
KRT-016,1119.48,1119.48,0.0,0.0
KRT-017,1130.57,1130.5699999999997,2.2737367544323206e-13,2.0111419500184166e-14
KRT-018,1089.28,1089.2799999999995,4.547473508864641e-13,4.174751678966513e-14
KRT-019,1086.18,1086.1799999999996,4.547473508864641e-13,4.186666582762197e-14
KRT-020,1109.97,1109.9699999999996,4.547473508864641e-13,4.0969337088972164e-14
KRT-021,1096.4,1096.4,0.0,0.0
KRT-022,1143.8,1143.7999999999995,4.547473508864641e-13,3.975759318818537e-14
KRT-023,1100.78,1100.7799999999993,6.821210263296962e-13,6.196706211320124e-14
KRT-024,1099.02,1099.0199999999995,4.547473508864641e-13,4.137753188171865e-14
KRT-025,1088.98,1088.98,0.0,0.0
KRT-026,1038.77,1038.77,0.0,0.0
KRT-027,1123.18,1123.1799999999996,4.547473508864641e-13,4.048748650140354e-14
KRT-028,1124.04,1124.04,0.0,0.0
KRT-029,1388.66,1388.66,0.0,0.0
KRT-030,1051.3600000000001,1051.36,2.2737367544323206e-13,2.1626624129054947e-14
KRT-031,1101.96,1101.9599999999998,2.2737367544323206e-13,2.0633568863046944e-14
KRT-032,1196.39,1196.39,0.0,0.0
KRT-033,1181.86,1181.86,0.0,0.0
KRT-034,1082.2,1082.1999999999998,2.2737367544323206e-13,2.1010319298025512e-14
KRT-035,1303.19,1303.1899999999996,4.547473508864641e-13,3.489493864182999e-14
KRT-036,1147.03,1147.029999999999,9.094947017729282e-13,7.929127414042606e-14
KRT-037,1210.55,1210.5499999999995,4.547473508864641e-13,3.7565350533762697e-14
KRT-038,1105.67,1105.6699999999994,6.821210263296962e-13,6.169300300539009e-14
KRT-039,1212.44,1212.4399999999991,9.094947017729282e-13,7.501358432358953e-14
KRT-040,1139.2,1139.2000000000005,-4.547473508864641e-13,-3.991813122247752e-14
KRT-041,1118.95,1118.9499999999998,2.2737367544323206e-13,2.032027127603844e-14
KRT-042,1232.41,1232.4099999999992,9.094947017729282e-13,7.37980624770108e-14
KRT-043,1327.25,1327.249999999999,9.094947017729282e-13,6.852474679019995e-14
KRT-044,1163.57,1163.5699999999997,2.2737367544323206e-13,1.95410396833222e-14
KRT-045,962.37,962.3699999999998,2.2737367544323206e-13,2.3626430109337584e-14
KRT-046,1091.04,1091.0399999999995,4.547473508864641e-13,4.168017221059396e-14
KRT-047,1160.66,1160.6599999999996,4.547473508864641e-13,3.918006572867715e-14
KRT-048,1053.7,1053.6999999999998,2.2737367544323206e-13,2.1578596891262417e-14
KRT-049,1343.09,1343.0899999999997,2.2737367544323206e-13,1.692914662779353e-14
KRT-050,1079.19,1079.1899999999994,6.821210263296962e-13,6.32067593593062e-14
KRT-051,1144.28,1144.279999999999,9.094947017729282e-13,7.94818315248828e-14
KRT-052,1205.95,1205.949999999999,1.1368683772161603e-12,9.427160141101715e-14
KRT-053,1070.78,1070.7800000000002,-2.2737367544323206e-13,-2.1234396929643066e-14
KRT-054,953.4399999999999,953.44,-1.1368683772161603e-13,-1.1923858629973153e-14
KRT-055,1127.49,1127.4899999999998,2.2737367544323206e-13,2.0166358499253394e-14
KRT-056,1094.8899999999999,1094.89,-2.2737367544323206e-13,-2.0766805381657703e-14
KRT-057,875.75,875.7500000000001,-1.1368683772161603e-13,-1.2981654321623297e-14
KRT-058,908.13,908.13,0.0,0.0
KRT-059,1022.33,1022.33,0.0,0.0
KRT-060,1113.36,1113.36,0.0,0.0
KRT-061,1056.99,1056.9899999999998,2.2737367544323206e-13,2.15114310866926e-14
KRT-062,1078.52,1078.52,0.0,0.0
KRT-063,1152.01,1152.0099999999998,2.2737367544323206e-13,1.97371268863319e-14
KRT-064,1141.5,1141.4999999999998,2.2737367544323206e-13,1.9918850235937985e-14
KRT-065,1104.6,1104.6,0.0,0.0
KRT-066,807.66,807.6599999999995,4.547473508864641e-13,5.6304305139101155e-14
KRT-067,1017.8000000000001,1017.8,1.1368683772161603e-13,1.116986025954176e-14
KRT-068,983.4399999999999,983.4399999999998,1.1368683772161603e-13,1.1560119348573991e-14
KRT-069,1018.38,1018.38,0.0,0.0
KRT-070,1142.26,1142.2600000000002,-2.2737367544323206e-13,-1.9905597275859437e-14
KRT-071,1009.35,1009.3499999999998,2.2737367544323206e-13,2.2526742501930162e-14
KRT-072,1247.02,1247.0200000000004,-4.547473508864641e-13,-3.6466724742703724e-14
KRT-073,1187.1299999999999,1187.1299999999994,4.547473508864641e-13,3.8306449241992396e-14
KRT-074,1151.79,1151.7899999999995,4.547473508864641e-13,3.948179363308106e-14
RDM-101,918.5,918.5,0.0,0.0
RDM-102,877.5,877.5,0.0,0.0
RDM-103,890.98,890.98,0.0,0.0
RDM-104,910.5699999999999,910.5699999999994,5.684341886080801e-13,6.242619333034039e-14
RDM-105,855.69,855.6899999999995,5.684341886080801e-13,6.642992071989628e-14
RDM-106,865.87,865.8699999999994,5.684341886080801e-13,6.564890671903178e-14
RDM-107,1022.61,1022.6100000000002,-2.2737367544323206e-13,-2.2234642282319946e-14
RDM-108,937.55,937.5499999999996,3.410605131648481e-13,3.637784791902813e-14
RDM-109,857.48,857.4799999999996,4.547473508864641e-13,5.3032997957557534e-14
RDM-110,838.73,838.7300000000001,-1.1368683772161603e-13,-1.3554640673591741e-14
RDM-112,929.84,929.8399999999992,7.958078640513122e-13,8.558546245067032e-14
RDM-113,911.17,911.1700000000004,-4.547473508864641e-13,-4.990806884406465e-14
RDM-114,962.0,962.0,0.0,0.0
RDM-115,989.33,989.3299999999996,4.547473508864641e-13,4.596518359763318e-14
RDM-116,1053.53,1053.5299999999995,4.547473508864641e-13,4.3164157725595313e-14
RDM-117,1191.16,1191.16,0.0,0.0
RDM-118,1084.14,1084.1399999999996,4.547473508864641e-13,4.1945445319466516e-14
RDM-119,990.53,990.5299999999994,5.684341886080801e-13,5.738687254379781e-14
RDM-120,1093.41,1093.4099999999996,4.547473508864641e-13,4.158982914793758e-14
RDM-121,1064.21,1064.2099999999996,4.547473508864641e-13,4.273097893145754e-14
RDM-122,1114.09,1114.09,0.0,0.0
RDM-123,1058.91,1058.9099999999996,4.547473508864641e-13,4.2944853753998385e-14
RDM-124,1212.46,1212.4599999999998,2.2737367544323206e-13,1.8753086736323847e-14
RDM-125,1214.83,1214.83,0.0,0.0
RDM-126,1116.73,1116.73,0.0,0.0
RDM-127,962.9100000000001,962.9099999999996,4.547473508864641e-13,4.722636081113129e-14
RDM-128,1024.31,1024.3099999999995,4.547473508864641e-13,4.439548094682902e-14
RDM-129,1070.35,1070.3499999999997,2.2737367544323206e-13,2.1242927588474063e-14
RDM-130,953.86,953.8599999999996,4.547473508864641e-13,4.7674433447934114e-14
RDM-131,1026.06,1026.0599999999993,6.821210263296962e-13,6.647964313292563e-14
RDM-132,1244.2,1244.2,0.0,0.0
RDM-133,1007.07,1007.0699999999996,4.547473508864641e-13,4.5155485804012063e-14
RDM-SC17D8,856.5,856.5000000000001,-1.1368683772161603e-13,-1.3273419465454293e-14
RDM-SC1A38,1010.4,1010.3999999999996,3.410605131648481e-13,3.375499932352021e-14
RDM-SC1A4C,716.4,716.4,0.0,0.0
RDM-SC1AA8,954.0,954.0,0.0,0.0
RDM-SC1B34,775.8,775.7999999999997,2.2737367544323206e-13,2.930828505326529e-14
RDM-SC1BA8,1025.7,1025.7,0.0,0.0
