hipotese,cenario,ultimo,antecip_media,antecip_pond,ha_dia,ha_ate_31dez,ha_ate_31jan,pct_ate_31jan
H1,A,2026-03-19,0.0,0.0,0,2161,4840,58%
H1,B,2026-03-14,2.4,2.5,20790,2421,5290,64%
H1,C,2026-03-09,1.4,1.4,11705,2161,4840,58%
H1,D,2026-03-09,4.7,4.9,40984,2421,5590,67%
H1,E1,2026-03-19,0.6,0.6,5281,2161,5140,62%
H1,E2,2026-03-19,0.8,0.9,7505,2161,5290,64%
H1,E3,2026-03-19,1.0,1.1,9189,2161,5290,64%
H2,A,2026-03-19,0.0,0.0,0,4968,6352,76%
H2,B,2026-03-14,7.8,7.8,64469,5118,6352,76%
H2,C,2026-03-09,1.8,2.0,16532,4968,6652,80%
H2,D,2026-03-02,10.2,10.2,84963,5118,6652,80%
H2,E1,2026-03-19,1.2,1.3,10555,5118,6352,76%
H2,E2,2026-03-19,2.1,2.2,17988,5118,6352,76%
H2,E3,2026-03-19,3.3,3.5,28944,5118,6352,76%
