fazenda,pivo_id,pivo,plantio,emergencia,area_ha,kg_totais,variedades,arrobas_ha,dia,y_c,sem
KRT,KRT-001,1,2025-12-02,2025-12-07,120.0,719292.0,FM 990 STP,399.6066666666667,1,82.4274141872109,2025-12-01/2025-12-07
KRT,KRT-033,33,2025-12-19,2025-12-24,140.0,708100.0,FM 985 GLTP,337.19047619047615,18,20.011223711020364,2025-12-15/2025-12-21
KRT,KRT-034,34,2025-12-20,2025-12-25,150.0,635983.0,FM 974 GLT,282.65911111111114,19,-34.52014136834464,2025-12-15/2025-12-21
KRT,KRT-057,57,2025-12-11,2025-12-16,150.0,604197.0,FM 911 GLTP,268.53200000000004,10,-48.647252479455744,2025-12-08/2025-12-14
KRT,KRT-059,59,2025-12-17,2025-12-22,73.0,495946.0,FM 911 GLTP,452.9187214611872,16,135.73946898173142,2025-12-15/2025-12-21
KRT,KRT-060,60,2025-12-08,2025-12-13,150.0,702745.0,DP 1949 B3RF,312.3311111111111,7,-4.84814136834467,2025-12-08/2025-12-14
KRT,KRT-061,61,2025-12-29,2026-01-03,145.0,593161.0,FM 911 GLTP,272.7177011494253,28,-44.46155133003049,2025-12-29/2026-01-04
KRT,KRT-062,62,2026-01-11,2026-01-16,140.0,590931.0,DP 2111 B3RF,281.3957142857143,41,-35.78353819374149,2026-01-05/2026-01-11
KRT,KRT-066,66,2025-12-08,2025-12-13,100.0,447207.0,DP 1949 B3RF,298.138,7,-19.041252479455807,2025-12-08/2025-12-14
KRT,KRT-067,67,2025-12-13,2025-12-18,80.0,461757.0,FM 979 STP,384.7975,12,67.61824752054423,2025-12-08/2025-12-14
KRT,KRT-070,70,2025-12-26,2025-12-31,150.0,796960.0,FM 911 GLTP,354.20444444444445,25,37.025191964988664,2025-12-22/2025-12-28
KRT,KRT-073,73,2026-01-01,2026-01-06,160.0,387983.0,FM 985 GLTP,161.65958333333333,31,-155.51966914612245,2025-12-29/2026-01-04
RDM,RDM-102,102,2025-12-20,2025-12-25,100.0,555250.0,FM 974 GLT,370.1666666666666,19,-3.5298518518519586,2025-12-15/2025-12-21
RDM,RDM-104,104,2025-12-23,2025-12-28,100.0,722350.0,FM 985 GLTP,481.56666666666666,22,107.87014814814813,2025-12-22/2025-12-28
RDM,RDM-105,105,2025-12-21,2025-12-26,100.0,553933.0,FM 974 GLT,369.2886666666667,20,-4.407851851851831,2025-12-15/2025-12-21
RDM,RDM-107,107,2025-12-22,2025-12-27,100.0,714270.0,FM 974 GLT,476.18,21,102.48348148148148,2025-12-22/2025-12-28
RDM,RDM-109,109,2025-12-29,2026-01-03,100.0,514252.0,FM 985 GLTP,342.8346666666667,28,-30.86185185185184,2025-12-29/2026-01-04
RDM,RDM-110,110,2025-12-27,2026-01-01,100.0,478938.0,FM 985 GLTP,319.29200000000003,26,-54.4045185185185,2025-12-22/2025-12-28
RDM,RDM-115,115,2026-01-06,2026-01-11,150.0,816450.0,DP 1949 B3RF,362.8666666666667,36,-10.829851851851856,2026-01-05/2026-01-11
RDM,RDM-131,131,2026-01-02,2026-01-07,100.0,468520.0,FM 985 GLTP,312.3466666666667,32,-61.34985185185184,2025-12-29/2026-01-04
RDM,RDM-132,132,2025-12-25,2025-12-30,100.0,493090.0,FM 985 GLTP,328.72666666666663,24,-44.9698518518519,2025-12-22/2025-12-28
