fazenda,pivo_id,area_ha,variedades,pluviometro,soja_plantio,soja_colheita,soja_ciclo,soja_prod_sc_ha,liberacao,algodao_plantio,algodao_emergencia,arrobas_ha,jan_dias,jan_chuva_mm,jan_dias_maior5,jan_dias_resid,jan_dias_bloq,jan_dias_agric,jan_maior_seq_bloq,jan_api_medio,jan_api_max,camp_chuva_mm,camp_dias_maior5,camp_dias_resid,camp_dias_bloq,camp_maior_seq_bloq,camp_api_medio,camp_api_max,espera_pos_colheita_soja
KRT,KRT-001,120.0,FM 990 STP,KRT-001,,,,,2025-12-02,2025-12-02,2025-12-07,399.6066666666667,1,0.2,0,1,1,0,1,74.6,74.6,799.6,37,35,72,12,51.5,126.1,
KRT,KRT-001,30.0,FM 979 STP,KRT-001,,,,,2025-12-02,2025-12-03,2025-12-08,,2,9.9,1,1,2,0,2,73.8,74.6,799.6,37,35,72,12,51.5,126.1,
KRT,KRT-002,124.0,FM 933 STP; FM 945 STP,KRT-002,2025-10-12,2026-02-02,113.0,87.97,2026-02-02,2026-02-14,2026-02-19,,13,91.1,4,4,8,5,4,36.5,67.6,744.9,34,32,66,11,49.6,128.1,12.0
KRT,KRT-006,150.0,DP 2111 B3RF; TMG 33 B3RF,KRT-006,2025-09-26,2026-02-12,139.0,70.71,2026-02-12,2026-02-17,2026-02-22,,6,0.0,0,2,2,4,2,53.0,77.3,844.8,38,34,72,10,53.3,122.4,5.0
KRT,KRT-015,150.0,DP 1949 B3RF,KRT-015,2025-10-07,2026-01-30,115.0,64.31,2026-01-30,2026-02-06,2026-02-11,,8,32.5,2,4,6,2,6,26.6,37.8,783.3,35,31,66,12,49.7,117.3,7.0
KRT,KRT-016,150.0,FM 974 GLT,KRT-016,,,,,2025-12-02,2026-02-06,2026-02-11,,67,475.9,23,24,47,20,19,49.4,107.4,754.7,34,34,68,19,47.6,107.4,
KRT,KRT-017,150.0,DP 1949 B3RF,KRT-017,2025-10-01,2026-01-28,119.0,62.47,2026-01-28,2026-02-06,2026-02-11,,10,20.1,1,2,3,7,3,21.5,28.7,740.9,31,28,59,10,46.8,110.9,9.0
KRT,KRT-019,150.0,DP 1949 B3RF,KRT-019,2025-10-02,2026-01-28,118.0,67.77,2026-01-28,2026-02-07,2026-02-12,,11,28.4,3,3,6,5,6,26.4,33.7,728.6,32,30,62,16,46.1,137.6,10.0
KRT,KRT-020,150.0,FM 974 GLT,KRT-020,,,,,2025-12-02,2026-01-16,2026-01-21,,46,347.0,12,17,29,17,12,50.7,102.7,751.4,33,32,65,12,47.4,142.6,
KRT,KRT-021,150.0,DP 1949 B3RF,KRT-021,2025-10-03,2026-01-26,115.0,64.55,2026-01-26,2026-01-27,2026-02-01,,2,0.2,0,1,1,1,1,36.3,39.6,712.8,34,34,68,12,45.3,151.1,1.0
KRT,KRT-022,150.0,FM 974 GLT,KRT-022,,,,,2025-12-02,2026-01-25,2026-01-30,,55,410.6,19,18,37,18,12,49.9,101.7,765.9,33,35,68,12,48.6,137.2,
KRT,KRT-024,150.0,FM 974 GLT,KRT-024,,,,,2025-12-02,2026-01-21,2026-01-26,,51,371.0,15,17,32,19,12,49.5,109.6,710.5,31,35,66,12,45.7,139.6,
KRT,KRT-026,150.0,FM 911 GLTP,KRT-026,2025-09-26,2026-01-14,110.0,43.85,2026-01-14,2026-01-19,2026-01-24,,6,8.9,1,1,2,4,1,39.6,55.2,666.5,28,32,60,12,43.0,123.3,5.0
KRT,KRT-030,150.0,FM 985 GLTP,KRT-030,,,,,2025-12-02,2026-01-26,2026-01-31,,56,374.4,18,15,33,23,17,43.9,82.1,724.7,32,29,61,17,45.8,143.7,
KRT,KRT-031,150.0,IMA 5901 B2RF,KRT-031,2025-10-04,2026-01-16,104.0,36.11,2026-01-16,2026-01-24,2026-01-29,,9,74.6,5,0,5,4,5,42.4,61.0,751.5,29,32,61,9,47.5,127.7,8.0
KRT,KRT-033,140.0,FM 985 GLTP,KRT-033,,,,,2025-12-02,2025-12-19,2025-12-24,337.19047619047615,18,208.8,8,7,15,3,8,72.3,122.7,785.0,31,29,60,8,49.3,122.7,
KRT,KRT-034,150.0,FM 974 GLT,KRT-034,,,,,2025-12-02,2025-12-20,2025-12-25,282.65911111111114,19,188.0,7,8,15,4,9,66.4,101.3,741.1,32,31,63,9,46.7,104.1,
KRT,KRT-035,150.0,DP 1949 B3RF,KRT-035,2025-10-03,2026-02-09,129.0,74.34,2026-02-09,2026-02-13,2026-02-18,,5,65.8,2,2,4,1,4,48.4,74.4,817.1,38,30,68,12,51.8,138.5,4.0
KRT,KRT-039,100.0,FM 911 GLTP,KRT-039,,,,,2025-12-02,2026-03-10,2026-03-15,,99,818.8,34,32,66,33,18,54.9,115.9,828.4,35,34,69,18,52.0,115.9,
KRT,KRT-041,127.0,FM 911 GLTP,KRT-041,,,,,2025-12-02,2026-02-19,2026-02-24,,80,590.4,29,20,49,31,10,49.9,144.5,803.3,39,28,67,10,50.5,144.5,
KRT,KRT-042,100.0,DP 2111 B3RF,KRT-042,,,,,2025-12-02,2026-02-07,2026-02-12,,68,595.0,25,19,44,24,10,58.8,168.7,885.2,38,29,67,12,54.8,168.7,
KRT,KRT-043,138.0,FM 911 GLTP,KRT-043,2025-10-10,2026-02-08,121.0,69.45,2026-02-08,2026-02-13,2026-02-18,,6,69.3,2,2,4,2,4,42.6,78.4,959.5,40,30,70,12,59.8,178.3,5.0
KRT,KRT-047,160.0,DP 1949 B3RF; TMG 44 B2RF,KRT-047,,,,,2025-12-02,2026-02-28,2026-03-05,,89,775.1,34,23,57,32,10,55.0,124.3,854.4,38,29,67,10,53.5,124.3,
KRT,KRT-048,160.0,FM 985 GLTP,KRT-048,,,,,2025-12-02,2026-01-18,2026-01-23,,48,410.6,16,12,28,20,10,59.0,139.9,806.2,32,29,61,10,50.5,139.9,
KRT,KRT-049,125.0,FM 985 GLTP,KRT-049,,,,,2025-12-02,2026-01-18,2026-01-23,,48,389.6,16,13,29,19,10,58.5,137.6,979.4,37,30,67,12,61.8,173.2,
KRT,KRT-051,90.0,DP 2104 B3RF,KRT-051,2025-10-30,2026-03-05,126.0,80.74,2026-03-05,2026-03-05,2026-03-10,,1,3.3,0,0,0,1,0,53.4,53.4,785.6,34,30,64,12,48.8,157.1,0.0
KRT,KRT-051,30.0,DP 2111 B3RF,KRT-051,2025-10-30,2026-03-05,126.0,80.74,2026-03-05,2026-03-19,2026-03-24,,15,25.4,2,4,6,9,3,27.3,54.6,785.6,34,30,64,12,48.8,157.1,14.0
KRT,KRT-053,75.0,IMA 5801 B2RF; IMA 5901 B2RF,KRT-053,,,,,2025-12-02,2026-02-16,2026-02-21,,77,569.7,30,24,54,23,19,47.2,107.3,843.0,40,32,72,19,51.7,154.3,
KRT,KRT-054,120.0,DP 1949 B3RF,KRT-054,,,,,2025-12-02,2026-02-18,2026-02-23,,79,449.9,24,23,47,32,12,36.9,79.1,727.7,33,29,62,12,44.5,166.1,
KRT,KRT-055,150.0,BS 2441 STP; BS 2453 STP; DP 2111 B3RF; IMA 3479 B2RF; IMA 563 B3XF; ST APEX 2156 B3RF; TAURA B3XF; TMG 83 B3XF,KRT-055,2025-10-26,2026-03-08,133.0,83.11,2026-03-08,2026-03-09,2026-03-14,,2,0.2,0,1,1,1,1,39.3,42.5,828.5,37,33,70,12,51.0,169.4,1.0
KRT,KRT-056,150.0,FM 911 GLTP,KRT-056,,,,,2025-12-02,2026-01-16,2026-01-21,,46,306.0,14,14,28,18,12,44.3,90.5,777.2,35,28,63,12,47.8,168.4,
KRT,KRT-057,150.0,FM 911 GLTP,KRT-057,,,,,2025-12-02,2025-12-11,2025-12-16,268.53200000000004,10,100.3,5,2,7,3,7,53.2,91.9,628.8,33,30,63,12,38.8,110.7,
KRT,KRT-058,150.0,DP 2111 B3RF,KRT-058,,,,,2025-12-02,2026-03-11,2026-03-16,,100,660.4,30,28,58,42,10,43.5,142.7,664.2,30,28,58,10,41.1,142.7,
KRT,KRT-059,73.0,FM 911 GLTP,KRT-059,,,,,2025-12-02,2025-12-17,2025-12-22,452.9187214611872,16,123.4,8,5,13,3,7,51.4,92.6,717.5,35,28,63,10,44.4,114.1,
KRT,KRT-059,73.0,DP 2111 B3RF,KRT-059,,,,,2025-12-02,2026-01-03,2026-01-08,,33,234.4,12,9,21,12,9,40.0,92.6,717.5,35,28,63,10,44.4,114.1,
KRT,KRT-060,150.0,DP 1949 B3RF,KRT-060,,,,,2025-12-02,2025-12-08,2025-12-13,312.3311111111111,7,122.2,5,0,5,2,5,60.4,115.8,756.4,34,28,62,13,46.8,158.4,
KRT,KRT-061,145.0,FM 911 GLTP,KRT-061,,,,,2025-12-02,2025-12-29,2026-01-03,272.7177011494253,28,129.0,9,7,16,12,9,36.4,83.9,693.9,37,30,67,13,42.8,118.6,
KRT,KRT-062,140.0,DP 2111 B3RF,KRT-062,,,,,2025-12-02,2026-01-11,2026-01-16,281.3957142857143,41,226.1,13,11,24,17,10,37.5,91.0,717.4,35,28,63,13,44.4,142.5,
KRT,KRT-063,80.0,FM 985 GLTP,KRT-063,,,,,2025-12-02,2026-01-28,2026-02-02,,58,411.8,19,15,34,24,10,47.9,98.8,798.2,34,27,61,10,49.6,140.3,
KRT,KRT-064,80.0,FM 911 GLTP,KRT-064,2025-10-12,2026-02-06,117.0,58.85,2026-02-06,2026-02-10,2026-02-15,,5,2.1,0,0,0,5,0,17.7,23.4,761.4,36,25,61,10,47.5,146.7,4.0
KRT,KRT-065,150.0,FM 985 GLTP,KRT-065,,,,,2025-12-02,2026-01-29,2026-02-03,,59,365.4,19,15,34,25,10,41.6,94.7,767.7,32,25,57,10,47.4,166.6,
KRT,KRT-066,100.0,DP 1949 B3RF,KRT-066,,,,,2025-12-02,2025-12-08,2025-12-13,298.138,7,71.4,5,0,5,2,5,43.5,71.3,531.8,30,28,58,10,33.2,101.0,
KRT,KRT-067,80.0,FM 979 STP,KRT-067,,,,,2025-12-02,2025-12-13,2025-12-18,384.7975,12,99.3,5,2,7,5,7,55.3,92.3,683.1,33,30,63,10,42.3,117.1,
KRT,KRT-068,80.0,FM 911 GLTP,KRT-068,,,,,2025-12-02,2026-01-30,2026-02-04,,60,342.9,19,17,36,24,10,40.1,111.5,634.2,30,28,58,10,40.1,111.5,
KRT,KRT-069,80.0,FM 911 GLTP,KRT-069,,,,,2025-12-02,2026-02-15,2026-02-20,,76,516.1,23,19,42,34,10,44.0,115.3,690.1,33,27,60,10,43.1,115.3,
KRT,KRT-070,150.0,FM 911 GLTP,KRT-070,,,,,2025-12-02,2025-12-26,2025-12-31,354.20444444444445,25,182.0,9,7,16,9,11,54.1,105.5,794.7,35,33,68,13,49.5,139.9,
